Form	Strength	DrugName	ActiveIngredient	
TABLET;ORAL	5MG	MENADIONE	MENADIONE	
TABLET;ORAL	65MG	PROLOID	THYROGLOBULIN	
TABLET;ORAL	325MG	PROLOID	THYROGLOBULIN	
TABLET;ORAL	32MG	PROLOID	THYROGLOBULIN	
TABLET;ORAL	200MG	PROLOID	THYROGLOBULIN	
TABLET;ORAL	100MG	PROLOID	THYROGLOBULIN	
TABLET;ORAL	16MG	PROLOID	THYROGLOBULIN	
TABLET;ORAL	130MG	PROLOID	THYROGLOBULIN	
INJECTABLE;INJECTION	100MG/ML	INULIN AND SODIUM CHLORIDE	INULIN	
TABLET;ORAL	100MG	AMINOPHYLLIN	AMINOPHYLLINE	
TABLET;ORAL	200MG	AMINOPHYLLIN	AMINOPHYLLINE	
POWDER;TOPICAL	33.32%	BENSULFOID	SULFUR	
TABLET;ORAL	10MG	ORETON METHYL	METHYLTESTOSTERONE	
TABLET;ORAL	25MG	ORETON METHYL	METHYLTESTOSTERONE	
"TABLET;BUCCAL, SUBLINGUAL"	10MG	METANDREN	METHYLTESTOSTERONE	
"TABLET;BUCCAL, SUBLINGUAL"	25MG	METANDREN	METHYLTESTOSTERONE	
"TABLET;BUCCAL, SUBLINGUAL"	5MG	METANDREN	METHYLTESTOSTERONE	
"TABLET;BUCCAL, SUBLINGUAL"	10MG	METANDREN	METHYLTESTOSTERONE	
INJECTABLE;INJECTION	5PRESSOR UNITS/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	PITRESSIN TANNATE	VASOPRESSIN TANNATE	
CAPSULE;ORAL	"50,000 IU"	DRISDOL	ERGOCALCIFEROL	
INJECTABLE;INJECTION	5MG/ML	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE	
INJECTABLE;INJECTION	10MG/ML	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE	
INJECTABLE;INJECTION	37.5MG/ML	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE	
TABLET;ORAL	5MG	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE	
INJECTABLE;INJECTION	1MG/ML	THEELIN	ESTRONE	
INJECTABLE;INJECTION	2MG/ML	THEELIN	ESTRONE	
INJECTABLE;INJECTION	5MG/ML	THEELIN	ESTRONE	
"TABLET, DELAYED RELEASE;ORAL"	0.1MG	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	
"TABLET, DELAYED RELEASE;ORAL"	0.5MG	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	
"TABLET, DELAYED RELEASE;ORAL"	1MG	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	
"TABLET, DELAYED RELEASE;ORAL"	0.25MG	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	
"TABLET, DELAYED RELEASE;ORAL"	5MG	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	
SUPPOSITORY;VAGINAL	0.1MG	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	
SUPPOSITORY;VAGINAL	0.5MG	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	
TABLET;ORAL	0.1MG	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	
TABLET;ORAL	0.5MG	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	
TABLET;ORAL	1MG	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	
TABLET;ORAL	5MG	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL	
TABLET;ORAL	500MG	SULFADIAZINE	SULFADIAZINE	
INJECTABLE;INJECTION	250MG/ML	SULFADIAZINE SODIUM	SULFADIAZINE SODIUM	
SUPPOSITORY;VAGINAL	0.1MG	STILBESTROL	DIETHYLSTILBESTROL	
SUPPOSITORY;VAGINAL	0.5MG	STILBESTROL	DIETHYLSTILBESTROL	
INJECTABLE;INJECTION	0.2MG/ML	STILBESTROL	DIETHYLSTILBESTROL	
INJECTABLE;INJECTION	0.5MG/ML	STILBESTROL	DIETHYLSTILBESTROL	
INJECTABLE;INJECTION	1MG/ML	STILBESTROL	DIETHYLSTILBESTROL	
INJECTABLE;INJECTION	5MG/ML	STILBESTROL	DIETHYLSTILBESTROL	
TABLET;ORAL	0.1MG	STILBETIN	DIETHYLSTILBESTROL	
TABLET;ORAL	0.5MG	STILBETIN	DIETHYLSTILBESTROL	
TABLET;ORAL	1MG	STILBETIN	DIETHYLSTILBESTROL	
TABLET;ORAL	5MG	STILBETIN	DIETHYLSTILBESTROL	
"TABLET, DELAYED RELEASE;ORAL"	0.1MG	STILBETIN	DIETHYLSTILBESTROL	
"TABLET, DELAYED RELEASE;ORAL"	0.5MG	STILBETIN	DIETHYLSTILBESTROL	
"TABLET, DELAYED RELEASE;ORAL"	1MG	STILBETIN	DIETHYLSTILBESTROL	
"TABLET, DELAYED RELEASE;ORAL"	5MG	STILBETIN	DIETHYLSTILBESTROL	
TABLET;ORAL	0.25MG	STILBETIN	DIETHYLSTILBESTROL	
TABLET;ORAL	500MG	SULFADIAZINE	SULFADIAZINE	
TABLET;ORAL	300MG	SULFADIAZINE	SULFADIAZINE	
INJECTABLE;INJECTION	"1,000 UNITS/ML"	HEPARIN SODIUM	HEPARIN SODIUM	
INJECTABLE;INJECTION	"5,000 UNITS/ML"	HEPARIN SODIUM	HEPARIN SODIUM	
INJECTABLE;INJECTION	"10,000 UNITS/ML"	HEPARIN SODIUM	HEPARIN SODIUM	
INJECTABLE;INJECTION	5ML/100ML;5GM/100ML	ALCOHOL 5% AND DEXTROSE 5%	ALCOHOL; DEXTROSE	
INJECTABLE;INJECTION	10ML/100ML;5GM/100ML	ALCOHOL 10% AND DEXTROSE 5%	ALCOHOL; DEXTROSE	
TABLET;ORAL	1.25MG	PREMARIN	"ESTROGENS, CONJUGATED"	
TABLET;ORAL	2.5MG	PREMARIN	"ESTROGENS, CONJUGATED"	
TABLET;ORAL	0.3MG	PREMARIN	"ESTROGENS, CONJUGATED"	
TABLET;ORAL	0.625MG	PREMARIN	"ESTROGENS, CONJUGATED"	
TABLET;ORAL	0.9MG	PREMARIN	"ESTROGENS, CONJUGATED"	
TABLET;ORAL	0.45MG	PREMARIN	"ESTROGENS, CONJUGATED"	
TABLET;ORAL	50MG	DEMEROL	MEPERIDINE HYDROCHLORIDE	
INJECTABLE;INJECTION	50MG/ML	DEMEROL	MEPERIDINE HYDROCHLORIDE	
INJECTABLE;INJECTION	100MG/ML	DEMEROL	MEPERIDINE HYDROCHLORIDE	
TABLET;ORAL	100MG	DEMEROL	MEPERIDINE HYDROCHLORIDE	
SYRUP;ORAL	50MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	DEMEROL	MEPERIDINE HYDROCHLORIDE	
INJECTABLE;INJECTION	25MG/ML	DEMEROL	MEPERIDINE HYDROCHLORIDE	
INJECTABLE;INJECTION	75MG/ML	DEMEROL	MEPERIDINE HYDROCHLORIDE	
PELLET;IMPLANTATION	125MG	PERCORTEN	DESOXYCORTICOSTERONE ACETATE	
TABLET;ORAL	1.5MG;5MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	HYCODAN	HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE	
SYRUP;ORAL	1.5MG/5ML;5MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	HYCODAN	HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE	
INJECTABLE;INJECTION	"1,000 UNITS/ML"	PANHEPRIN	HEPARIN SODIUM	
INJECTABLE;INJECTION	"5,000 UNITS/ML"	PANHEPRIN	HEPARIN SODIUM	
INJECTABLE;INJECTION	"10,000 UNITS/ML"	PANHEPRIN	HEPARIN SODIUM	
INJECTABLE;INJECTION	"20,000 UNITS/ML"	PANHEPRIN	HEPARIN SODIUM	
INJECTABLE;INJECTION	"40,000 UNITS/ML"	PANHEPRIN	HEPARIN SODIUM	
INJECTABLE;INJECTION	100 UNITS/ML	HEPARIN LOCK FLUSH	HEPARIN SODIUM	
INJECTABLE;INJECTION	"2,000 UNITS/ML"	HEPARIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM	
INJECTABLE;INJECTION	"2,500 UNITS/ML"	HEPARIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM	
TABLET;ORAL	0.02MG	ESTINYL	ETHINYL ESTRADIOL	
TABLET;ORAL	0.05MG	ESTINYL	ETHINYL ESTRADIOL	
TABLET;ORAL	0.5MG	ESTINYL	ETHINYL ESTRADIOL	
INJECTABLE;INJECTION	100%	PANTOPAQUE	IOPHENDYLATE	
TABLET;ORAL	5MG	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE	
"TABLET, EXTENDED RELEASE;ORAL"	10MG	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE	
"TABLET, EXTENDED RELEASE;ORAL"	5MG	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE	
"TABLET, EXTENDED RELEASE;ORAL"	15MG	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE	
TABLET;ORAL	0.05MG	LYNORAL	ETHINYL ESTRADIOL	
TABLET;ORAL	0.01MG	LYNORAL	ETHINYL ESTRADIOL	
CAPSULE;ORAL	50MG	DICUMAROL	DICUMAROL	
CAPSULE;ORAL	25MG	DICUMAROL	DICUMAROL	
INJECTABLE;INJECTION	"1,000 UNITS/ML"	HEPARIN SODIUM	HEPARIN SODIUM	
INJECTABLE;INJECTION	"10,000 UNITS/ML"	HEPARIN SODIUM	HEPARIN SODIUM	
INJECTABLE;INJECTION	"20,000 UNITS/ML"	HEPARIN SODIUM	HEPARIN SODIUM	
TABLET;ORAL	25MG	DICUMAROL	DICUMAROL	
TABLET;ORAL	50MG	DICUMAROL	DICUMAROL	
TABLET;ORAL	100MG	DICUMAROL	DICUMAROL	
INJECTABLE;INJECTION	20%	AMINOHIPPURATE SODIUM	AMINOHIPPURATE SODIUM	
INJECTABLE;INJECTION	12.5GM/50ML	MANNITOL 25%	MANNITOL	
INJECTABLE;INJECTION	3MG/ML	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE	
TABLET;ORAL	130CSR UNIT	VERTAVIS	VERATRUM VIRIDE ROOT	
INJECTABLE;INJECTION	10MG/ML	KAPPADIONE	MENADIOL SODIUM DIPHOSPHATE	
CREAM;VAGINAL	3.7%;2.86%;3.42%	SULTRIN	TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)	
TABLET;VAGINAL	184MG;143.75MG;172.5MG	SULTRIN	TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)	
OINTMENT;TOPICAL	0.20%	FURACIN	NITROFURAZONE	
CAPSULE;ORAL	50MG	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE	
ELIXIR;ORAL	12.5MG/5ML	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE	
CAPSULE;ORAL	25MG	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE	
SOLUTION;ORAL	200MG/5ML	TRIDIONE	TRIMETHADIONE	
CAPSULE;ORAL	300MG	TRIDIONE	TRIMETHADIONE	
TABLET;ORAL	150MG	TRIDIONE	TRIMETHADIONE	
TABLET;ORAL	1MG	FOLVITE	FOLIC ACID	
INJECTABLE;INJECTION	5MG/ML	FOLVITE	FOLIC ACID	
TABLET;ORAL	50MG	PBZ	TRIPELENNAMINE HYDROCHLORIDE	
ELIXIR;ORAL	EQ 25MG HCL/5ML	PBZ	TRIPELENNAMINE CITRATE	
INJECTABLE;INJECTION	1MG/ML	D.H.E. 45	DIHYDROERGOTAMINE MESYLATE	
INJECTABLE;INJECTION	5%	AMINOSOL 5%	PROTEIN HYDROLYSATE	
INJECTABLE;INJECTION	10%	BAL	DIMERCAPROL	
SOLUTION/DROPS;OPHTHALMIC	10% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	SODIUM SULAMYD	SULFACETAMIDE SODIUM	
OINTMENT;OPHTHALMIC	10% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	SODIUM SULAMYD	SULFACETAMIDE SODIUM	
SOLUTION/DROPS;OPHTHALMIC	30% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	SODIUM SULAMYD	SULFACETAMIDE SODIUM	
INJECTABLE;INJECTION	1% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	SOTRADECOL	SODIUM TETRADECYL SULFATE	
INJECTABLE;INJECTION	3% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	SOTRADECOL	SODIUM TETRADECYL SULFATE	
TABLET;ORAL	EQ 300MG BASE	ARALEN	CHLOROQUINE PHOSPHATE	
INJECTABLE;INJECTION	EQ 40MG BASE/ML	ARALEN HYDROCHLORIDE	CHLOROQUINE HYDROCHLORIDE	
TABLET;ORAL	100MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	MESANTOIN	MEPHENYTOIN	
CAPSULE;ORAL	182MG;0.33MG	FOLVRON	FERROUS SULFATE; FOLIC ACID	
TABLET;ORAL	0.2MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	METHERGINE	METHYLERGONOVINE MALEATE	
INJECTABLE;INJECTION	0.2MG/ML	METHERGINE	METHYLERGONOVINE MALEATE	
"TABLET, DELAYED RELEASE;ORAL"	165MG	DIASONE SODIUM	SULFOXONE SODIUM	
INJECTABLE;INJECTION	"50MG/ML;0.03MG/ML;0.0025MG/ML;7.5MG/ML;100 IU/ML;0.2MG/ML;20MG/ML;2MG/ML;1.8MG/ML;1.5MG/ML;1,650 IU/ML;5 IU/ML"	BEROCCA PN	ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E	
INJECTABLE;INJECTION	3MG/ML	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE	
CREAM;VAGINAL	0.01%	DIENESTROL	DIENESTROL	
TABLET;ORAL	5MG	DOLOPHINE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	
SYRUP;ORAL	10MG/30ML	DOLOPHINE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	
TABLET;ORAL	10MG	DOLOPHINE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	
TABLET;ORAL	1MG	FOLIC ACID	FOLIC ACID	
INJECTABLE;INJECTION	10MG/ML	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE	
INJECTABLE;INJECTION	50MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE	
INJECTABLE;INJECTION	5%	HYPROTIGEN 5%	PROTEIN HYDROLYSATE	
TABLET;ORAL	50MG	PROPYLTHIOURACIL	PROPYLTHIOURACIL	
INJECTABLE;INJECTION	2.5MG/ML	HEAVY SOLUTION NUPERCAINE	DIBUCAINE HYDROCHLORIDE	
TABLET;ORAL	50MG	PROPYLTHIOURACIL	PROPYLTHIOURACIL	
SOAP;TOPICAL	2%	GAMOPHEN	HEXACHLOROPHENE	
CREAM;TOPICAL	1%	KWELL	LINDANE	
LOTION;TOPICAL	1%	KWELL	LINDANE	
SUSPENSION;ORAL	250MG/5ML;250MG/5ML	SULFONAMIDES DUPLEX	SULFADIAZINE; SULFAMERAZINE	
TABLET;ORAL	167MG;167MG;167MG	NEOTRIZINE	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)	
SUSPENSION;ORAL	167MG/5ML;167MG/5ML;167MG/5ML	NEOTRIZINE	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)	
INJECTABLE;INJECTION	3MG/ML	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE	
SOLUTION;INHALATION	0.50%	ISUPREL	ISOPROTERENOL HYDROCHLORIDE	
SOLUTION;INHALATION	1%	ISUPREL	ISOPROTERENOL HYDROCHLORIDE	
"TABLET;RECTAL, SUBLINGUAL"	10MG	ISUPREL	ISOPROTERENOL HYDROCHLORIDE	
"TABLET;RECTAL, SUBLINGUAL"	15MG	ISUPREL	ISOPROTERENOL HYDROCHLORIDE	
ELIXIR;ORAL	EQ 165MG BASE/15ML	SYNOPHYLATE	THEOPHYLLINE SODIUM GLYCINATE	
INJECTABLE;INJECTION	150 UNITS/ML **Federal Register determination that product  was not discontinued or withdrawn for safety or efficacy reasons**	WYDASE	HYALURONIDASE	
INJECTABLE;INJECTION	"1,500 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**"	WYDASE	HYALURONIDASE	
INJECTABLE;INJECTION	150 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	WYDASE	HYALURONIDASE	
POWDER;FOR RX COMPOUNDING	50GM/BOT	METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	
POWDER;FOR RX COMPOUNDING	100GM/BOT	METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	
POWDER;FOR RX COMPOUNDING	500GM/BOT	METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE	
INJECTABLE;INJECTION	25MG/ML	PRISCOLINE	TOLAZOLINE HYDROCHLORIDE	
TABLET;ORAL	25MG	DECAPRYN	DOXYLAMINE SUCCINATE	
TABLET;ORAL	12.5MG	DECAPRYN	DOXYLAMINE SUCCINATE	
TABLET;ORAL	EQ 200MG BASE	CAMOQUIN HYDROCHLORIDE	AMODIAQUINE HYDROCHLORIDE	
TABLET;ORAL	50MG	HETRAZAN	DIETHYLCARBAMAZINE CITRATE	
INJECTABLE;INJECTION	10MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	PROTAMINE SULFATE	PROTAMINE SULFATE	
INJECTABLE;INJECTION	EQ 90MG CALCIUM/5ML	CALCIUM GLUCEPTATE	CALCIUM GLUCEPTATE	
INJECTABLE;INJECTION	2%	XYLOCAINE	LIDOCAINE HYDROCHLORIDE	
INJECTABLE;INJECTION	0.01MG/ML;2%	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	
INJECTABLE;INJECTION	0.01MG/ML;1%	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	
INJECTABLE;INJECTION	0.02MG/ML;2%	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	
INJECTABLE;INJECTION	1%	XYLOCAINE	LIDOCAINE HYDROCHLORIDE	
INJECTABLE;INJECTION	0.50%	XYLOCAINE	LIDOCAINE HYDROCHLORIDE	
INJECTABLE;INJECTION	1.50%	XYLOCAINE	LIDOCAINE HYDROCHLORIDE	
INJECTABLE;INJECTION	0.005MG/ML;0.5%	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	
INJECTABLE;INJECTION	0.005MG/ML;1.5%	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	
INJECTABLE;INJECTION	0.005MG/ML;1%	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	
INJECTABLE;INJECTION	0.005MG/ML;2%	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE	
SYRUP;ORAL	12.5MG/5ML	BENYLIN	DIPHENHYDRAMINE HYDROCHLORIDE	
TABLET;ORAL	500MG	GANTRISIN	SULFISOXAZOLE	
CREAM;VAGINAL	15%	AVC	SULFANILAMIDE	
SUPPOSITORY;VAGINAL	1.05GM	AVC	SULFANILAMIDE	
INJECTABLE;INJECTION	5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	URECHOLINE	BETHANECHOL CHLORIDE	
TABLET;ORAL	10MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	URECHOLINE	BETHANECHOL CHLORIDE	
TABLET;ORAL	5MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	URECHOLINE	BETHANECHOL CHLORIDE	
TABLET;ORAL	25MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	URECHOLINE	BETHANECHOL CHLORIDE	
TABLET;ORAL	50MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	URECHOLINE	BETHANECHOL CHLORIDE	
INJECTABLE;INJECTION	900MG/100ML	AMMONIUM CHLORIDE 0.9% IN NORMAL SALINE	AMMONIUM CHLORIDE	
TABLET;ORAL	100MG;1MG	CAFERGOT	CAFFEINE; ERGOTAMINE TARTRATE	
INJECTABLE;INJECTION	2MG/ML	METUBINE IODIDE	METOCURINE IODIDE	
INJECTABLE;INJECTION	1MG/ML	REDISOL	CYANOCOBALAMIN	
INJECTABLE;INJECTION	10MG/VIAL	MUSTARGEN	MECHLORETHAMINE HYDROCHLORIDE	
INJECTABLE;INJECTION	20MG/ML	VASOXYL	METHOXAMINE HYDROCHLORIDE	
INJECTABLE;INJECTION	10MG/ML	VASOXYL	METHOXAMINE HYDROCHLORIDE	
TABLET;ORAL	5MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE	
TABLET;ORAL	2MG **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE	
ELIXIR;ORAL	2MG/5ML	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE	
"CAPSULE, EXTENDED RELEASE;ORAL"	5MG	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE	
INJECTABLE;INJECTION	1MG/ML	BERUBIGEN	CYANOCOBALAMIN	
INJECTABLE;INJECTION	0.1MG/ML	RUBRAMIN PC	CYANOCOBALAMIN	
INJECTABLE;INJECTION	1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	RUBRAMIN PC	CYANOCOBALAMIN	
INJECTABLE;INJECTION	1MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	RUBRAMIN PC	CYANOCOBALAMIN	
CAPSULE;ORAL	300MG	PARADIONE	PARAMETHADIONE	
SOLUTION;ORAL	300MG/ML	PARADIONE	PARAMETHADIONE	
CAPSULE;ORAL	150MG	PARADIONE	PARAMETHADIONE	
TABLET;ORAL	500MG	PARASAL	AMINOSALICYLIC ACID	
TABLET;ORAL	1GM	PARASAL	AMINOSALICYLIC ACID	
TABLET;ORAL	500MG	PARASAL SODIUM	AMINOSALICYLATE SODIUM	
TABLET;ORAL	1GM	PARASAL SODIUM	AMINOSALICYLATE SODIUM	
INJECTABLE;INJECTION	"EQ 50,000 UNITS BASE/ML"	AQUASOL A	VITAMIN A PALMITATE	
EMULSION;TOPICAL	3%	PHISOHEX	HEXACHLOROPHENE	
TABLET;ORAL	167MG;167MG;167MG	TERFONYL	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)	
SUSPENSION;ORAL	167MG/5ML;167MG/5ML;167MG/5ML	TERFONYL	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)	
POWDER;INHALATION	25%	NORISODRINE	ISOPROTERENOL SULFATE	
POWDER;INHALATION	10%	NORISODRINE	ISOPROTERENOL SULFATE	
INJECTABLE;INJECTION	EQ 400MG BASE/ML	GANTRISIN	SULFISOXAZOLE DIOLAMINE	
TABLET;ORAL	167MG;167MG;167MG	TRIPLE SULFAS	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)	
SUSPENSION;ORAL	167MG/5ML;167MG/5ML;167MG/5ML	TRIPLE SULFAS	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)	
TABLET;ORAL	4MG	CHLOR-TRIMETON	CHLORPHENIRAMINE MALEATE	
SYRUP;ORAL	2MG/5ML	CHLOR-TRIMETON	CHLORPHENIRAMINE MALEATE	
CREAM;TOPICAL	10%	EURAX	CROTAMITON	
INJECTABLE;INJECTION	1MG/ML	SYNCURINE	DECAMETHONIUM BROMIDE	
INJECTABLE;INJECTION	1MG/ML	VI-TWEL	CYANOCOBALAMIN	
TABLET;ORAL	500MG	AZULFIDINE	SULFASALAZINE	
"TABLET, DELAYED RELEASE;ORAL"	500MG	AZULFIDINE EN-TABS	SULFASALAZINE	
INJECTABLE;INJECTION	1MG/ML	CYANOCOBALAMIN	CYANOCOBALAMIN	
INJECTABLE;INJECTION	25MG/ML	CORTONE	CORTISONE ACETATE	
INJECTABLE;INJECTION	50MG/ML	CORTONE	CORTISONE ACETATE	
SOLUTION;INHALATION	0.25%	AEROLONE	ISOPROTERENOL HYDROCHLORIDE	
TABLET;ORAL	500MG	TEEBACIN	AMINOSALICYLATE SODIUM	
